token_value,count,token_key
nsa,19,701
kleo,19,702
tna,19,703
nny,19,704
frei,19,705
rau,19,706
rgo,19,707
ndria,19,708
rse,19,709
rsha,19,710
ncho,19,711
gea,19,712
zja,19,713
ppe,19,714
ngte,19,715
cba,18,716
lmy,18,717
 fe,18,718
nti,18,719
s ci,18,720
tho,18,721
riu,18,722
rmiu,18,723
nt,18,724
nnea,18,725
shka,18,726
dra,18,727
nno,18,728
lse,18,729
n die,18,730
rdiu,18,731
troi,18,732
nste,18,733
rche,17,734
lwau,17,735
rv,17,736
cra,17,737
tiya,17,738
nlu,17,739
nki,17,740
tiu,17,741
rre,17,742
rfu,17,743
phra,17,744
triu,17,745
psa,17,746
clu,17,747
lt la,17,748
kee,17,749
npo,16,750
 ci,16,751
hou,16,752
stru,16,753
 cru,16,754
rpi,16,755
dria,16,756
mno,16,757
xtri,16,758
pla,16,759
koa,16,760
phnai,15,761
bae,15,762
wie,15,763
cle,15,764
nvi,15,765
ptei,15,766
zeia,15,767
ckso,15,768
sea,15,769
ntra,14,770
kya,14,771
lbu,14,772
cau,14,773
tyu,14,774
rque,14,775
rtmu,14,776
rtla,14,777
sht,14,778
que,14,779
nthi,14,780
mpy,13,781
sba,13,782
shu,13,783
leia,12,784
oa,12,785
kla,12,786
rdi,11,787
mbo,10,788
 mo,10,789
