Rank,city,Russian,Federal subject,civ,Population,,Change
,,,,,2021 Census[1],2010 Census[2],
298,Zelenogorsk,???????????, Krasnoyarsk Krai,Siberia,54279,66056,?17.83%
3,Novosibirsk,???????????, Novosibirsk Oblast,Siberia,1633595,1473754,10.85%
162,Berdsk,??????, Novosibirsk Oblast,Siberia,102850,97296,5.71%
277,Iskitim,???????, Novosibirsk Oblast,Siberia,57147,60078,?4.88%
12,Omsk,????, Omsk Oblast,Siberia,1125695,1154119,?2.46%
97,Abakan,??????, Republic of Khakassia,Siberia,184769,165214,11.84%
214,Chernogorsk,??????????, Republic of Khakassia,Siberia,75745,72147,4.99%
29,Tomsk,?????, Tomsk Oblast,Siberia,556478,524669,6.06%
157,Seversk,???????, Tomsk Oblast,Siberia,106648,108590,?1.79%
133,Kyzyl,?????, Tuva Republic,Siberia,125241,109918,13.94%
40,Astrakhan,?????????, Astrakhan Oblast,South,475629,520339,?8.59%
13,Krasnodar,?????????, Krasnodar Krai,South,1099344,744995,47.56%
43,Sochi,????, Krasnodar Krai,South,466078,343334,35.75%
73,Novorossiysk,????????????, Krasnodar Krai,South,262293,241952,8.41%
96,Armavir,???????, Krasnodar Krai,South,187177,188832,?0.88%
194,Yeysk,????, Krasnodar Krai,South,82943,87769,?5.50%
199,Anapa,?????, Krasnodar Krai,South,81863,58990,38.77%
201,Gelendzhik,?????????, Krasnodar Krai,South,80204,54980,45.88%
212,Kropotkin,?????????, Krasnodar Krai,South,75858,80765,?6.08%
253,Slavyansk-na-Kubani,????????-??-??????, Krasnodar Krai,South,62985,63842,?1.34%
256,Tuapse,??????, Krasnodar Krai,South,61571,63292,?2.72%
275,Labinsk,???????, Krasnodar Krai,South,57428,62864,?8.65%
287,Belorechensk,???????????, Krasnodar Krai,South,55870,53892,3.67%
290,Tikhoretsk,????????, Krasnodar Krai,South,55686,61823,?9.93%
297,Krymsk,??????, Krasnodar Krai,South,54597,57382,?4.85%
304,Timashyovsk,?????????, Krasnodar Krai,South,51858,53924,?3.83%
121,Maykop,??????, Republic of Adygea,South,143385,144249,?0.60%
—,Simferopol,????????o??, Republic of Crimea [a],South,340540,343644,?0.90% [b]
—,Kerch,?????, Republic of Crimea [a],South,154621,157007,?1.52% [b]
—,Yevpatoria,?????????, Republic of Crimea [a],South,107877,105915,+1.85% [b]
—,Yalta,????, Republic of Crimea [a],South,74652,81654,?8.58% [b]
—,Feodosia,????????, Republic of Crimea [a],South,66293,74669,?11.22% [b]
163,Elista,??????, Republic of Kalmykia,South,102583,103749,?1.12%
11,Rostov-on-Don,??????-??-????, Rostov Oblast,South[5],1142162,1089261,4.86%
78,Taganrog,????????, Rostov Oblast,South,245120,257681,?4.87%
84,Shakhty,?????, Rostov Oblast,South,226452,239987,?5.64%
106,Volgodonsk,??????????, Rostov Oblast,South,168048,170841,?1.63%
110,Novocherkassk,????????????, Rostov Oblast,South,163674,168746,?3.01%
130,Bataysk,???????, Rostov Oblast,South,126988,111843,13.54%
161,Novoshakhtinsk,????????????, Rostov Oblast,South,103480,111075,?6.84%
191,Kamensk-Shakhtinsky,???????-??????????, Rostov Oblast,South,86365,95296,?9.37%
198,Azov,????, Rostov Oblast,South,81924,82937,?1.22%
264,Gukovo,??????, Rostov Oblast,South,60361,67278,?10.28%
273,Salsk,??????, Rostov Oblast,South,57937,61316,?5.51%
—,Sevastopol,???????????, Sevastopol (federal city) [a],South,547820,342451,+59.97% [b]
16,Volgograd,?????????, Volgograd Oblast,South,1028036,1021215,0.67%
58,Volzhsky,????????, Volgograd Oblast,South,321479,314255,2.30%
153,Kamyshin,???????, Volgograd Oblast,South,107927,119565,?9.73%
284,Mikhaylovka,??????????, Volgograd Oblast,South,56031,59132,?5.24%
7,Chelyabinsk,?????????, Chelyabinsk Oblast,Ural,1189525,1130132,5.26%
47,Magnitogorsk,????????????, Chelyabinsk Oblast,Ural,410594,407775,0.69%
112,Zlatoust,????????, Chelyabinsk Oblast,Ural,161774,174962,?7.54%
117,Miass,?????, Chelyabinsk Oblast,Ural,147995,151751,?2.48%
118,Kopeysk,???????, Chelyabinsk Oblast,Ural,147806,137601,7.42%
210,Ozyorsk,??????, Chelyabinsk Oblast,Ural,76896,82164,?6.41%
225,Troitsk,??????, Chelyabinsk Oblast,Ural,70301,78372,?10.30%
308,Snezhinsk,????????, Chelyabinsk Oblast,Ural,50619,48810,3.71%
48,Surgut,??????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,396443,306675,29.27%
68,Nizhnevartovsk,?????????????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,283256,251694,12.54%
135,Nefteyugansk,???????????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,124732,122855,1.53%
155,Khanty-Mansiysk,?????-????????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,107473,80151,34.09%
252,Nyagan,??????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,63034,54890,14.84%
257,Kogalym,???????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,61441,58181,5.60%
63,Kurgan,??????, Kurgan Oblast,Ural,310911,333606,?6.80%
229,Shadrinsk,????????, Kurgan Oblast,Ural,68609,77756,?11.76%
4,Yekaterinburg,????????????, Sverdlovsk Oblast,Ural,1544376,1349772,14.42%
54,Nizhny Tagil,?????? ?????, Sverdlovsk Oblast,Ural,338966,361811,?6.31%
109,Kamensk-Uralsky,???????-?????????, Sverdlovsk Oblast,Ural,164192,174689,?6.01%
